Cancer	P_values	Methods
Each Cacner	11.09878627	Trans-Driver
Each Cacner	83.44233541	Trans-Driver
Each Cacner	56.56026418	Trans-Driver
Each Cacner	46.63251818	Trans-Driver
Each Cacner	13.30526451	Trans-Driver
Each Cacner	44.9234613	Trans-Driver
Each Cacner	23.98540785	Trans-Driver
Each Cacner	34.07280675	Trans-Driver
Each Cacner	29.24439644	Trans-Driver
Each Cacner	66.42551357	Trans-Driver
Each Cacner	7.124917021	Trans-Driver
Each Cacner	23.35973796	Trans-Driver
Each Cacner	23.42298196	Trans-Driver
Each Cacner	29.28473007	Trans-Driver
Each Cacner	51.85398033	Trans-Driver
Each Cacner	44.32988481	Trans-Driver
Each Cacner	37.10237437	Trans-Driver
Each Cacner	40.71342627	Trans-Driver
Each Cacner	15.94819624	Trans-Driver
Each Cacner	20.71661872	Trans-Driver
Each Cacner	26.44318498	Trans-Driver
Each Cacner	15.94819624	Trans-Driver
Each Cacner	29.07420393	Trans-Driver
Each Cacner	28.32035342	Trans-Driver
Each Cacner	9.067968738	Trans-Driver
Each Cacner	29.25205255	Trans-Driver
Each Cacner	38.94547003	Trans-Driver
Each Cacner	12.2706588	Trans-Driver
Each Cacner	19.6835008	Trans-Driver
Each Cacner	9.443746387	Trans-Driver
Each Cacner	55.01212249	Trans-Driver
Each Cacner	30.99299653	Trans-Driver
Each Cacner	12.73579875	Trans-Driver
Each Cacner	15.27643454	2020plus
Each Cacner	71.95719072	2020plus
Each Cacner	45.22691246	2020plus
Each Cacner	57.51279121	2020plus
Each Cacner	11.12500001	2020plus
Each Cacner	40.24288391	2020plus
Each Cacner	18.28187543	2020plus
Each Cacner	27.93551302	2020plus
Each Cacner	30.51551702	2020plus
Each Cacner	57.5906651	2020plus
Each Cacner	6.744763694	2020plus
Each Cacner	24.82711394	2020plus
Each Cacner	18.05873367	2020plus
Each Cacner	27.8526173	2020plus
Each Cacner	46.19800766	2020plus
Each Cacner	49.94342748	2020plus
Each Cacner	38.69665596	2020plus
Each Cacner	51.43524636	2020plus
Each Cacner	15.27643454	2020plus
Each Cacner	20.51704984	2020plus
Each Cacner	27.42566576	2020plus
Each Cacner	15.27643454	2020plus
Each Cacner	34.11238956	2020plus
Each Cacner	26.47784635	2020plus
Each Cacner	10.82384359	2020plus
Each Cacner	36.14524702	2020plus
Each Cacner	40.11129441	2020plus
Each Cacner	12.17960052	2020plus
Each Cacner	22.2159046	2020plus
Each Cacner	6.346881603	2020plus
Each Cacner	90.28508628	2020plus
Each Cacner	39.40138713	2020plus
Each Cacner	21.96581918	2020plus
Each Cacner	7.30100828	CompositeDriver
Each Cacner	33.48737926	CompositeDriver
Each Cacner	33.23793398	CompositeDriver
Each Cacner	23.62369816	CompositeDriver
Each Cacner	3.698970004	CompositeDriver
Each Cacner	16.03896165	CompositeDriver
Each Cacner	2.920938207	CompositeDriver
Each Cacner	8.782744154	CompositeDriver
Each Cacner	23.19936394	CompositeDriver
Each Cacner	42.42825949	CompositeDriver
Each Cacner	4	CompositeDriver
Each Cacner	31.15265787	CompositeDriver
Each Cacner	5.966757245	CompositeDriver
Each Cacner	11.53668538	CompositeDriver
Each Cacner	29.34997267	CompositeDriver
Each Cacner	10.15079822	CompositeDriver
Each Cacner	21.79501072	CompositeDriver
Each Cacner	18.61943429	CompositeDriver
Each Cacner	11.12487359	CompositeDriver
Each Cacner	9.075899924	CompositeDriver
Each Cacner	16.76110959	CompositeDriver
Each Cacner	11.5228136	CompositeDriver
Each Cacner	15.34629918	CompositeDriver
Each Cacner	18.67985017	CompositeDriver
Each Cacner	11.5228136	CompositeDriver
Each Cacner	19.73424689	CompositeDriver
Each Cacner	28.03294386	CompositeDriver
Each Cacner	19.42575157	CompositeDriver
Each Cacner	17.67756354	CompositeDriver
Each Cacner	11.5228136	CompositeDriver
Each Cacner	0	CompositeDriver
Each Cacner	6.408913678	CompositeDriver
Each Cacner	14.2797104	CompositeDriver
Each Cacner	3.823908741	OncodriveCLUST
Each Cacner	8.347882005	OncodriveCLUST
Each Cacner	42.28167047	OncodriveCLUST
Each Cacner	25.23688492	OncodriveCLUST
Each Cacner	4.301029996	OncodriveCLUST
Each Cacner	36.75365512	OncodriveCLUST
Each Cacner	10.22183247	OncodriveCLUST
Each Cacner	18.6757693	OncodriveCLUST
Each Cacner	15.15656074	OncodriveCLUST
Each Cacner	49.51429564	OncodriveCLUST
Each Cacner	0	OncodriveCLUST
Each Cacner	13.38609444	OncodriveCLUST
Each Cacner	12.88432698	OncodriveCLUST
