gene,Trans-Driver,2020plus,CompositeDriver,CHASM,e-Driver,ECD-CDGI,MCDHGN,MNGCL,OncodriveCLUST,MuSiC,ActiveDriver
1-Dec,0.857150474565426,,,,,0.0,0.0,0.0,,,
1-Mar,0.8019622480537485,,,,,0.0,0.0,0.0,,,
10-Mar,0.5359389996800682,,,,,0.0,0.0,0.0,,,
11-Mar,0.1822544523834914,,,,,0.0,0.0,0.0,,,
15-Sep,0.9973339021008852,,,,,0.0,0.0,0.0,,,
2-Mar,0.9027940705982724,,,,,0.0,0.0,0.0,,,
3-Mar,0.8200917137677295,,,,,0.0,0.0,0.0,,,
4-Mar,0.606057374426789,,,,,0.0,0.0,0.0,,,
5-Mar,0.4532899648075077,,,,,0.0,0.0,0.0,,,
6-Mar,0.1852938039884825,,,,,0.0,0.0,0.0,,,
7-Mar,0.1622053961821478,,,,,0.0,0.0,0.0,,,
8-Mar,0.2852191532473073,,,,,0.0,0.0,0.0,,,
9-Mar,0.3811453556574598,,,,,0.0,0.0,0.0,,,
A1BG,0.5629199104191105,0.447190590751,0.863313668633137,0.1382,0.0070655486763672,0.0,0.03016741,0.62837756,0.209787662935,4.93701605769471e-05,
A1CF,0.0398315026127759,0.0373803795777,0.891610838916108,0.1524,0.019595008673818,0.59709203,0.94611645,0.6220996,0.0915237323607,0.0,1.0
A2M,0.2128079343073478,0.0214915797915,0.99030096990301,0.1496,0.066249492697746,0.547587,0.013852974,0.8263075,0.154277053572,0.0,1.0
A2ML1,0.1075503892502932,0.116615878107,0.995800419958004,0.5042,0.201595427646028,0.0,0.0,0.6209199,0.488008293115,1.47841246080128e-13,1.0
A3GALT2,,0.84747393745,0.930906909309069,0.063,0.975001021300032,,,,,0.890850542418275,
A4GALT,0.6314386264263623,0.34933974873,0.216178382161784,0.3492,0.0438174996813129,0.0,0.8360543,0.6423234,0.477662231718,1.23593315200599e-07,
A4GNT,0.6522875119974405,0.511136059877,0.481551844815518,0.4906,0.323393032252344,0.455786,0.014639677,0.620335,,2.21474154770814e-07,
AAAS,0.4385731044043938,0.159026998129,0.505249475052495,0.2422,1.0,0.34886527,0.6505835,0.75013304,0.335679368957,0.162028715239255,1.0
AACS,0.5368454729657672,0.283084736701,0.786421357864214,0.2138,0.256576684146331,0.0,0.060248364,0.67025506,0.347383785057,0.178971110481811,0.0287202440681397
AADAC,0.7052362162738616,0.835188452285,0.657334266573343,0.5452,0.731941871198056,0.0,0.24132618,0.58307356,0.0505778633532,4.54232847997956e-07,0.0292501333925678
AADACL2,0.7406953183320891,0.810253942796,0.999700029997,0.6512,0.374581093551013,0.0,0.0,0.0,,9.120234014027799e-10,
AADACL3,0.4282286445558281,0.822576851109,0.75992400759924,0.8318,0.457208800137074,0.0,0.0,0.0,,0.156215747220706,
AADACL4,0.8479257758344887,0.84747393745,0.98040195980402,0.3688,0.367261274467871,0.0,0.0,0.0,,4.92392841824332e-11,
AADAT,0.9086061640183428,0.773098102112,0.457854214578542,0.3068,0.141033109491717,0.0,0.04810363,0.6625438,0.399253471092,0.22907194985557,
AAED1,0.7098219046603391,0.760716385993,0.428957104289571,0.1408,0.475122312217565,0.0,0.0,0.0,,1.0,
AAGAB,0.2562653300629199,0.0120556001069,0.723827617238276,0.3882,0.496394633947547,0.0,0.5945928,0.58977467,0.340849412956,0.0363984278212751,1.0
AAK1,0.4918417404287085,0.121812349639,0.964503549645035,0.4956,0.661856066535914,0.7784281,0.9771205,0.63974166,,0.093731073356449,1.0
AAMDC,0.9089260957662364,0.639716653301,0.726627337266273,0.1162,0.953172946630629,0.0,0.09268188,0.70383275,,1.0,
AAMP,0.075557214460915,0.502480620155,0.486651334866513,0.1048,0.133504195405283,0.0,0.6908254,0.58820117,0.44841239837,1.0,
AANAT,0.8801322384557961,0.84747393745,0.793720627937206,0.071,0.108246791029169,0.0,0.52878577,0.6834067,,0.396290109457304,1.0
AAR2,0.6964914151647648,0.413087409783,0.998900109989001,0.5042,0.867156566228571,0.0,0.15133975,0.56778693,,0.196054259487698,
AARD,0.8752266183214248,0.984592354985,0.928207179282072,0.6806,,0.0,0.0,0.0,,0.0001202405350705,
AARS,0.2060893676015783,0.101240310078,0.839116088391161,0.1842,0.0662025923897535,0.0,0.0,0.6118597,0.477007872524,0.241784634396785,1.0
AARS2,0.263837048096406,0.0438438920075,0.377662233776622,0.3882,0.346121432464439,0.0,0.08805316,0.7191527,0.5914591831270001,0.0758149524199763,1.0
AARSD1,0.5370054388397141,0.106917936381,0.937806219378062,0.6402,0.175444110897769,0.0,0.26861495,0.6520747,0.22375612043,,1.0
AASDH,0.133358216913725,0.773098102112,0.962703729627037,0.19,0.248556472377939,0.0,0.0,0.0,0.354192619933,2.3745873636508204e-09,1.0
AASDHPPT,0.4588354484376666,0.354343758353,0.511148885111489,0.1808,0.35520638785782,0.13794988,0.45355988,0.6618287,0.340492738786,0.0008171710662724,1.0
AASS,0.5133838114535565,0.0877198609997,0.71962803719628,0.0392,0.555594137195839,0.0,0.8237022,0.6689829,0.203289337412,6.28893614942482e-07,1.0
AATF,0.4317478937826597,0.440240577386,0.52034796520348,0.3222,,0.0,0.9997688,0.6708566,,0.102664196399115,1.0
AATK,0.2302975365255412,0.162550120289,0.518248175182482,0.8004,0.0030831577464831,0.0,0.4142075,0.6351524,0.247222307007,1.34979929523911e-13,1.0
ABAT,0.5605204223099072,0.069537556803,0.21977802219778,0.3364,0.0107095325612529,0.0,0.7271446,0.6993867,0.157583731094,0.000202747028151,
ABCA1,0.0583875439906153,0.0980700347501,0.246075392460754,0.2796,0.073822140527746,0.856604,0.9820838,0.7622065,0.362130032795,0.0002777016086829,1.0
ABCA10,0.0519889090327396,0.394375835338,0.868413158684132,0.1746,0.160022849079009,0.0,0.0,0.0,,7.61433370980675e-17,1.0
ABCA12,0.0,0.723079390537,0.030869691303087,0.258,0.05037253447659,0.0,0.85151035,0.6795248,0.175834239249,0.0,1.0
ABCA13,0.0,0.307350975675,,0.1008,0.0095557600638934,0.0,0.0,0.0,0.239884465986,0.0,1.0
ABCA2,0.2559453983150261,0.382384389201,0.044529554704453,0.3688,0.0056024623215804,0.0,0.7295033,0.69803447,0.409968397988,3.81452863998717e-05,1.0
ABCA3,0.3502719419857097,0.469713980219,0.265373462653735,0.0692,0.0780953826916962,0.0,0.60551214,0.6739292,0.413049680416,1.89678187428556e-05,1.0
ABCA4,0.2965234083395542,0.748110130981,0.0077399226007739,0.3726,0.183485990408468,0.0,0.104302436,0.6851388,0.130503301528,5.259638631047199e-13,1.0
ABCA5,0.0493228111336248,0.687420475809,0.275972402759724,0.6468,0.104806774972752,0.0,0.96416473,0.65933764,0.181586231308,1.52300923557991e-06,0.0392136162648434
ABCA6,0.1153887170736909,0.34933974873,0.0050099499005009,0.6946,0.249646415433299,0.0,0.0,0.0,0.0809455242418999,2.6038144109180802e-17,1.0
ABCA7,0.2414951477018235,0.606746859129,0.0813918608139186,0.2712,0.16707511305931,0.0,0.8679363,0.68736124,0.545280938962,1.10739192206302e-07,
ABCA8,0.2893782659699264,0.556332531409,1.0,0.0434,0.138261144884443,0.0,0.0,0.0,0.438727690095,0.0,1.0
ABCA9,0.0291137890583341,0.339219460037,0.496050394960504,0.3688,0.679234737394627,0.0,0.0,0.0,0.164070794918,7.77574588298888e-13,
ABCB1,0.0215953929828303,0.00367281475541,0.011439885601144,0.0004,0.0069841832929459,0.863528,0.99700767,0.64410746,0.042590086908,0.0,1.0
ABCB10,0.2262450677188866,0.0362363004544,0.385161483851615,0.8222,0.0038966032295008,0.0,0.95606655,0.71409214,0.407762091288,0.0028905336789741,
ABCB11,0.2790338061213607,0.0805773857257,0.014359856401436,0.3364,0.0612928218314409,0.18292324,0.55051833,0.67496145,0.346471899136,4.39712760092954e-12,1.0
ABCB4,0.1623653620560946,0.180278000535,0.004739952600474,0.0064,0.0669599812233232,0.3805901,0.48699898,0.7189455,0.280590041756,6.769553094776232e-14,1.0
ABCB5,0.0636664178308626,0.223817161187,0.044619553804462,0.2278,0.131044016821875,0.0,0.056963183,0.7047262,0.0567388332725,0.0,
ABCB6,0.1682307774341473,0.320299385191,0.012289877101229,0.1162,0.19829370927233,0.0,0.8225752,0.6881125,0.58206257463,0.0002290162375596,1.0
ABCB7,0.3332622373893569,0.0788986901898,0.013909860901391,0.0804,0.343651689797259,0.21676455,0.5471058,0.6862525,0.573691450299,1.57829910819707e-06,1.0
ABCB8,0.6218406739895488,0.166383319968,0.139486051394861,0.6736,0.667340588966621,0.0,0.6141182,0.67939156,0.454892747969,0.0004903947722805,1.0
ABCB9,0.3857843660019195,0.400657578188,0.290570942905709,0.0012,0.177674274112791,0.0,0.5590226,0.6994448,0.602455371365,0.000292558918513,1.0
ABCC1,0.0840887277380825,0.0462068965517,0.041389586104139,0.082,0.0614918183881652,0.0,0.9902435,0.66682506,0.276674068159,0.000510765924228,0.0010513027942426
ABCC10,0.3323557641036578,0.188970863406,0.623437656234377,0.0158,0.371617444212097,0.0,0.28585684,0.7458471,0.437853806208,0.0408389993710083,1.0
ABCC11,0.2559987202730084,0.419700614809,0.908109189081092,0.4304,0.23918740584891,0.0,0.030175293,0.68703,0.174760370191,2.5675768541095306e-15,1.0
ABCC12,0.0817425615868614,0.291226944667,0.676032396760324,0.2796,0.120524751408096,0.0,0.0,0.76225203,,1.05536847113724e-14,
ABCC2,0.2536525541217873,0.254685912858,0.525147485251475,0.087,0.0462223157789839,0.48048753,0.987491,0.69859236,0.624052841657,0.0493014069726656,1.0
ABCC3,0.0437240055454836,0.116615878107,0.908409159084092,0.0292,0.113996283598588,0.0,0.77666456,0.6676712,0.318282065892,8.94513959715516e-07,1.0
ABCC4,0.1452490135437772,0.106917936381,0.243575642435756,0.3882,0.0417788728621065,0.0,0.84373194,0.668652,0.389699874796,1.89341805975438e-05,1.0
ABCC5,0.240855284206036,0.223817161187,0.0528194718052819,0.2972,0.23327333243899,0.0,0.99879706,0.688405,0.216631357459,2.57760242914094e-05,1.0
ABCC6,0.268476058440866,0.35966319166,0.0077199228007719,0.2972,0.0030415989121829,0.0,0.71118504,0.6754588,0.204098855535,5.97978921700296e-08,0.0071602509667644
ABCC8,0.1756425295936866,0.394375835338,0.01269987300127,0.0298,0.226600150768223,0.4875822,0.08172078,0.68319416,0.301491657219,6.93010134671661e-15,
ABCC9,0.0380185560413778,0.447190590751,0.0007699923000769,0.0008,0.0719425919113194,0.0,0.3750133,0.67428267,0.0869291412683999,0.0,
ABCD1,0.3020688919697131,0.0533066025127,0.001049989500105,0.966,0.119801743157524,0.0,0.6432632,0.7232074,0.221446023073,7.68121673173509e-05,1.0
ABCD2,0.0499626746294123,0.268313285218,0.000279997200028,0.0804,0.297452642063285,0.0,0.023105703,0.6829912,0.468033933306,3.73977309485325e-16,0.0190379287321868
ABCD3,0.1863602431481283,0.188970863406,0.010569894301057,0.1302,0.333268471963986,0.0,0.99007297,0.74184674,0.32221462764,0.0219706958443752,1.0
ABCD4,0.2093420070384984,0.628596631917,0.402059794020598,0.3688,0.364743658491477,0.0,0.12129064,0.6946778,,0.467828987078645,
ABCE1,0.1020582275781166,0.104672547447,0.101389861013899,0.5208,0.115600555471927,0.18341133,0.99986255,0.6748558,,0.105715220855203,1.0
ABCF1,0.2787671963314493,0.018738305266,0.0083899161008389,0.2236,0.0257733007940117,0.0,0.7743935,0.68501806,0.156776932647,0.003792786749195,1.11522533894294e-08
ABCF2,0.2332302442145675,0.287174552259,0.024439755602444,0.7304,0.0002744791042537,0.18948846,0.9971372,0.70153046,0.529332615923,0.0741090938909639,0.0365848890844821
ABCF3,0.4392129679001813,0.0203688853248,0.0764923507649235,0.0886,0.007779791351244,0.0,0.0,0.0,0.0889115950991,0.0155475482902124,1.0
ABCG1,0.2901780953396609,0.3650521251,0.014569854301457,0.146,0.120590639030087,0.0,0.28926605,0.68615484,0.6818081721799999,0.0199660407501015,
ABCG2,0.4539831502612775,0.954685912858,0.367763223677632,0.155,0.176303366205611,0.0,0.07737312,0.6609455,0.362210420909,0.0001757721874446,1.0
ABCG4,0.4851764956809214,0.229323710238,0.54034596540346,0.1746,,0.0,0.22155759,0.6634101,,6.26446320736507e-10,
ABCG5,0.6185347125946464,0.585886126704,0.444455554444556,0.4378,0.840209624738891,0.0,0.7067183,0.67886966,0.1751592728029999,0.0009966075552492,
ABCG8,0.3589100991788418,0.138829190056,0.671032896710329,0.3182,0.059172459304416,0.0,0.79330343,0.67931646,0.0634649287995,3.52702883815747e-12,
ABHD1,0.8742668230777434,0.798235765838,0.642235776422358,0.877,0.114444026913818,0.0,0.0,0.59986603,,0.103966754984335,
ABHD10,0.2060893676015783,0.735632183908,0.92050794920508,0.1382,0.932052845441389,0.0,0.29174694,0.56598306,,0.0209055372342504,1.0
ABHD11,0.9056734563293164,0.413087409783,0.912608739126087,0.4204,0.134612168245726,0.0,0.0,0.0,,0.0737491005955965,
ABHD12,0.8133198251039778,0.546837743919,0.605539446055394,0.1696,0.731986876541923,0.0,0.50710213,0.5873122,,0.747721018470174,
ABHD12B,0.9029007145142368,0.946426089281,0.985601439856014,0.4262,0.18534785920376,0.0,0.0,0.0,0.0911598580232,0.799091690315846,
ABHD13,0.4011410899008212,0.170072173216,0.582441755824418,0.071,0.325694409442939,0.0,0.0,0.0,0.0783393613472,0.002759658026517,
ABHD14A,0.7371227471472752,0.0741994119219,0.612438756124388,0.0552,0.546208602363911,0.0,0.21568368,0.55476016,0.276650038698,0.0684408619959781,
ABHD14A-ACY1,0.8080409512637303,0.984592354985,0.865213478652135,0.4304,,0.0,0.0,0.0,,,
ABHD14B,0.3402474138850379,0.84747393745,0.906809319068093,0.0292,0.723120635425281,0.0,0.24699232,0.61669415,,1.0,1.0
ABHD15,0.5792897515196758,0.735632183908,0.336766323367663,0.0768,0.0056000786486664,0.0,0.006171559,0.61852235,0.340492738786,0.0018027638274743,
ABHD16A,0.1305854750986456,0.370735097567,0.7998200179982,0.2796,0.0607687356052924,0.0,0.73187053,0.597948,,0.0914740940980482,
