gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
ARID1A,0.99999976
UBR4,0.99999964
MUC16,0.9999995
PIK3CA,0.99999917
CSMD1,0.9999988
FBXO11,0.99999666
SETD2,0.9999957
FAT1,0.9999949
IRS4,0.9999937
CUL4A,0.9999924
CREBBP,0.999992
GFM2,0.9999918
KLF5,0.99998534
IL1RN,0.99998367
IP6K2,0.99998343
SLC2A12,0.99997663
RAPGEF5,0.99997234
RBBP6,0.99996996
ANK2,0.99996996
CR2,0.99996984
LAMA4,0.9999696
DROSHA,0.99996936
CDH18,0.9999691
ATP12A,0.9999691
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
KMT2C,0.9999634
MCF2,0.9999628
ZFYVE16,0.9999628
TNR,0.9999621
MEN1,0.9999589
KMT2A,0.9999567
UTP14A,0.9999554
SMARCAL1,0.9999547
MAML1,0.9999542
RABGAP1,0.99995315
TLR2,0.99995255
ATRX,0.9999509
STK4,0.99995065
PHKB,0.9999504
ASPM,0.9999502
PLAGL1,0.99994946
PIK3R2,0.99994814
ZMIZ2,0.9999474
HIPK1,0.9999474
TTLL5,0.9999466
TLR8,0.99994576
NOTCH4,0.999943
ALK,0.999943
