gene,pvalue
TTN,1.0
TP53,1.0
UBR4,0.99999964
MUC16,0.9999995
CSMD1,0.9999988
SETD2,0.9999957
CBLB,0.9999895
MTOR,0.9999865
PRDM2,0.999985
ZNF668,0.99997807
MYCBP2,0.9999753
NCOA3,0.99997354
RUNX2,0.99997354
KAT6A,0.9999726
ANK2,0.99996996
LAMA4,0.9999696
DROSHA,0.99996936
ATP12A,0.9999691
IRF5,0.9999685
OBSCN,0.9999671
HMCN1,0.9999671
KMT2C,0.9999634
RNF43,0.99995446
MAML1,0.9999542
BHLHE40,0.99994826
ALK,0.999943
HUWE1,0.99993837
ENAH,0.9999379
SMG1,0.9999367
HERC2,0.9999354
PNP,0.99992406
SOS2,0.9999223
CUL7,0.99991536
SUPT6H,0.99991405
TAF1,0.9999138
NCOR2,0.9999087
FKBP4,0.9999083
EIF2S3,0.99990547
RASGRF1,0.99990046
TP63,0.9998975
ATM,0.9998964
USP9X,0.99989235
HSPA8,0.9998915
REV1,0.99988794
TCF4,0.99988675
PBRM1,0.9998789
SETD1A,0.99987257
DCLRE1C,0.99987054
DOCK7,0.99986947
PHC3,0.9998648
