gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
ARID1A,0.99999976
UBR4,0.99999964
MUC16,0.9999995
PIK3CA,0.99999917
CSMD1,0.9999988
FAT1,0.9999949
IRS4,0.9999937
CREBBP,0.999992
FANCC,0.9999918
KLF5,0.99998534
HTT,0.99998236
TBC1D4,0.9999782
KRAS,0.9999776
MYCBP2,0.9999753
HR,0.9999733
RBBP6,0.99996996
DROSHA,0.99996936
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
NCKAP1L,0.99996614
KMT2C,0.9999634
ZFYVE16,0.9999628
APAF1,0.9999597
TNFAIP3,0.99995923
RNF43,0.99995446
MAML1,0.9999542
PRDM1,0.9999534
TLR2,0.99995255
ASPM,0.9999502
ZMIZ1,0.9999496
HIPK1,0.9999474
TTLL5,0.9999466
FGFR4,0.9999449
SOX4,0.99994373
NOTCH4,0.999943
KAT2B,0.99994016
DGKZ,0.99993896
MAPK8IP3,0.99993896
HUWE1,0.99993837
BRCC3,0.9999368
HERC2,0.9999354
ANXA10,0.9999347
MYC,0.99992895
PELI2,0.99992895
MET,0.9999275
RB1,0.9999242
RORC,0.9999187
FOXA2,0.9999174
IQGAP1,0.99991727
KDM6A,0.99991536
PLK3,0.99991405
SUPT6H,0.99991405
TAF1,0.9999138
AIFM2,0.9999131
WAC,0.99991286
MAPK6,0.99991214
ACSL4,0.9999094
NCOR2,0.9999087
RHD,0.99990714
ACACA,0.99990463
SENP1,0.99990344
TSC22D1,0.9999021
