gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
ARID1A,0.99999976
UBR4,0.99999964
MUC16,0.9999995
CSMD1,0.9999988
SETD2,0.9999957
FAT1,0.9999949
CREBBP,0.999992
MTOR,0.9999865
PRDM2,0.999985
HTT,0.99998236
KRAS,0.9999776
MYCBP2,0.9999753
TEP1,0.9999738
NCOA3,0.99997354
KAT6A,0.9999726
STAT6,0.9999714
RBBP6,0.99996996
ANK2,0.99996996
CD40LG,0.99996984
LAMA4,0.9999696
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
SMG7,0.99996686
KDM4D,0.9999658
DMTF1,0.99996555
SMG5,0.9999652
SREBF2,0.9999647
PLCG2,0.999964
KMT2C,0.9999634
ZFYVE16,0.9999628
KMT2A,0.9999567
SMARCAL1,0.9999547
MAML1,0.9999542
PRDM1,0.9999534
TLR2,0.99995255
PHKB,0.9999504
NLK,0.99995005
CEBPZ,0.9999497
ZMIZ1,0.9999496
PLAGL1,0.99994946
PRMT3,0.9999478
NOTCH4,0.999943
ALK,0.999943
SP3,0.9999424
EEA1,0.9999409
KIT,0.99993944
NGFR,0.99993837
HUWE1,0.99993837
CSNK1G1,0.9999374
UHRF2,0.99993706
PLCE1,0.99993694
SMG1,0.9999367
MNDA,0.9999367
DDX3X,0.9999361
HERC2,0.9999354
HEY1,0.99993384
MDM2,0.9999331
PLK2,0.999933
BACH1,0.99993277
MYL9,0.99993277
ARL3,0.99993074
MYC,0.99992895
FOXP1,0.99992716
FBP2,0.9999255
KMT2E,0.9999225
PRKD1,0.9999219
ARNT,0.9999217
PPP3CA,0.99991894
RORC,0.9999187
MYH10,0.9999168
KDM6A,0.99991536
CUL7,0.99991536
TAF1,0.9999138
AR,0.9999132
AIFM2,0.9999131
VASP,0.9999101
PTPN11,0.9999095
NCOR2,0.9999087
MDM4,0.9999081
EIF2S3,0.99990547
ERCC2,0.99990237
NLRC4,0.99990225
PATZ1,0.9999012
MCL1,0.9999002
NCOA6,0.9998995
THRB,0.9998994
CUL9,0.99989915
ATM,0.9998964
STAT1,0.9998963
DAB2IP,0.99989605
BAX,0.9998956
WT1,0.9998946
USP9X,0.99989235
ACTA1,0.9998921
SMAD7,0.99989164
HSPA8,0.9998915
MPDZ,0.99988854
APC,0.9998858
ZNF398,0.99988544
PBRM1,0.9998789
RRM2B,0.99987566
SYK,0.9998741
TP53BP2,0.9998728
COLGALT1,0.99987054
NUP155,0.99986815
TAF5,0.9998677
FOXK2,0.99986124
MAGI1,0.9998604
NAE1,0.9998591
WDR5,0.999858
NUP88,0.9998568
DECR1,0.99985635
