gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
ARID1A,0.99999976
UBR4,0.99999964
MUC16,0.9999995
PIK3CA,0.99999917
CSMD1,0.9999988
FBXO11,0.99999666
SETD2,0.9999957
FAT1,0.9999949
CYP17A1,0.9999945
IRS4,0.9999937
CUL4A,0.9999924
CREBBP,0.999992
FANCC,0.9999918
GFM2,0.9999918
NCOR1,0.99999154
CBLB,0.9999895
HBB,0.9999881
MTOR,0.9999865
KLF5,0.99998534
PRDM2,0.999985
IP6K2,0.99998343
HTT,0.99998236
PPP2R5C,0.999982
MYO9A,0.99997914
TBC1D4,0.9999782
ZNF668,0.99997807
ACTL6A,0.9999777
KRAS,0.9999776
SLC2A12,0.99997663
MYCBP2,0.9999753
TEP1,0.9999738
NCOA3,0.99997354
RUNX2,0.99997354
PHF20,0.9999734
HR,0.9999733
KAT6A,0.9999726
RAPGEF5,0.99997234
ALOX5AP,0.9999716
TP53INP1,0.9999714
STAT6,0.9999714
RBBP6,0.99996996
ANK2,0.99996996
CD40LG,0.99996984
CR2,0.99996984
LAMA4,0.9999696
DROSHA,0.99996936
CDH18,0.9999691
ATP12A,0.9999691
PDGFRA,0.999969
IRF5,0.9999685
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
SMG7,0.99996686
GYS2,0.9999665
NCKAP1L,0.99996614
KDM4D,0.9999658
DMTF1,0.99996555
SMG5,0.9999652
SREBF2,0.9999647
FBXO4,0.99996424
PLCG2,0.999964
KMT2C,0.9999634
MCF2,0.9999628
LDB3,0.99996245
TNR,0.9999621
PRKCD,0.9999614
MSX1,0.99996066
APAF1,0.9999597
CREBZF,0.99995947
TNFAIP3,0.99995923
MEN1,0.9999589
ZBTB7A,0.99995816
KMT2A,0.9999567
UTP14A,0.9999554
TLR5,0.9999554
TP53BP1,0.99995494
NCOA2,0.99995494
SMARCAL1,0.9999547
RNF43,0.99995446
MAML1,0.9999542
PRDM1,0.9999534
RABGAP1,0.99995315
TLR2,0.99995255
USP3,0.9999521
KLF6,0.9999517
PLOD3,0.99995124
ATRX,0.9999509
PHKB,0.9999504
ASPM,0.9999502
NLK,0.99995005
CEBPZ,0.9999497
ZMIZ1,0.9999496
PLAGL1,0.99994946
CCND1,0.9999492
FOXL2,0.99994886
MAPK10,0.9999486
PIK3R2,0.99994814
ZMIZ2,0.9999474
HIPK1,0.9999474
HMGA2,0.9999466
TTLL5,0.9999466
CDKN2A,0.9999461
TLR8,0.99994576
OTUD5,0.9999453
FGFR4,0.9999449
AXIN1,0.99994445
FAS,0.9999441
TWIST2,0.999944
SOX4,0.99994373
GLS2,0.9999436
NOTCH4,0.999943
ZBTB17,0.999943
ALK,0.999943
SP3,0.9999424
IGF1R,0.9999424
MTA1,0.99994135
EEA1,0.9999409
DPH1,0.99994063
KAT2B,0.99994016
KIT,0.99993944
DGKZ,0.99993896
MAPK8IP3,0.99993896
MAP3K1,0.9999386
HUWE1,0.99993837
ENAH,0.9999379
CSNK1G1,0.9999374
UHRF2,0.99993706
PLCE1,0.99993694
BRCC3,0.9999368
SMG1,0.9999367
MNDA,0.9999367
DDX3X,0.9999361
HERC2,0.9999354
TRIM24,0.9999354
ZNF420,0.99993503
ANXA10,0.9999347
HEY1,0.99993384
MDM2,0.9999331
PLK2,0.999933
BACH1,0.99993277
MYL9,0.99993277
MVP,0.9999325
ARL3,0.99993074
RB1CC1,0.9999293
MYC,0.99992895
PELI2,0.99992895
PPM1D,0.9999287
CETP,0.9999287
ING4,0.9999286
MET,0.9999275
FOXP1,0.99992716
ZNF679,0.9999263
CREB1,0.9999262
TOPBP1,0.999926
IRF7,0.9999244
RB1,0.9999242
