gene,pvalue,pred
NTRK1,0.9616985,1
APP,0.9613723,1
TP53,0.9571673,1
EFTUD2,0.95531535,1
UBC,0.9543872,1
CUL3,0.9514128,1
EGFR,0.9507765,1
XPO1,0.94975424,1
HSP90AA1,0.9491717,1
GRB2,0.9469497,1
HSP90AB1,0.9426167,1
FN1,0.9398007,1
CUL1,0.9379864,1
ESR1,0.93753165,1
YWHAZ,0.93681335,1
EP300,0.93484867,1
CTNNB1,0.93459725,1
MCM2,0.93447316,1
TRAF6,0.9341577,1
EGLN3,0.9331598,1
HSPA8,0.9330098,1
CDK2,0.9304886,1
HDAC1,0.92831343,1
ACTB,0.92552125,1
AKT1,0.9238593,1
MYC,0.923666,1
CUL7,0.92276764,1
BRCA1,0.92137,1
HNRNPA1,0.9195045,1
VHL,0.91932416,1
CSNK2A1,0.9185769,1
PRPF8,0.9180546,1
PRKN,0.9166391,1
CDH1,0.9163656,1
VCP,0.9154379,1
RNF4,0.9153354,1
IKBKG,0.91287637,1
FLNA,0.91180944,1
YWHAE,0.91137576,1
SMAD3,0.91078967,1
RELA,0.9105929,1
MAPK1,0.90952516,1
HSPA5,0.9093909,1
COPS5,0.90844095,1
SMAD2,0.90806496,1
BTRC,0.90714633,1
HNRNPU,0.9059241,1
MDM2,0.90443313,1
UBB,0.90360564,1
CDC5L,0.9027654,1
CFTR,0.90269536,1
TRAF2,0.9014527,1
FBXW11,0.9005506,1
AR,0.8994237,1
CHD4,0.8991725,1
YWHAB,0.8983487,1
SIRT7,0.8971633,1
YWHAQ,0.89587086,1
IKBKE,0.8935251,1
SNW1,0.8929188,1
RPA1,0.89207494,1
ARRB2,0.8912443,1
EEF1A1,0.88925594,1
RPA2,0.8892447,1
PPP1CA,0.88907146,1
LRRK2,0.8885469,1
TGFB1,0.88773745,1
CREBBP,0.8852111,1
HGS,0.8834392,1
AURKA,0.8833601,1
CUL2,0.87996554,1
FLNB,0.8792728,1
CYLD,0.87832916,1
RNF2,0.8776943,1
RPS8,0.87715125,1
NPM1,0.87638044,1
RPS27A,0.87578416,1
PIK3R1,0.87569916,1
EWSR1,0.87561285,1
U2AF2,0.87316024,1
SRC,0.8729519,1
LMNA,0.8722168,1
ABL1,0.8715843,1
HSPD1,0.8714585,1
CUL5,0.8713639,1
RPS2,0.8705884,1
RPL4,0.8701421,1
RPL13,0.8698454,1
RPL7,0.86978984,1
HDAC2,0.86950797,1
PCBP1,0.86854523,1
CAND1,0.868309,1
RPL18,0.8680942,1
TTN,0.8677549,1
PRKACA,0.86651415,1
RPS16,0.8659816,1
RPS15A,0.8657565,1
HSPB1,0.86523926,1
RPL10A,0.86497796,1
RPL6,0.8647928,1
HNRNPM,0.86467314,1
RPSA,0.86465347,1
CSNK2B,0.86452955,1
SMAD4,0.86442566,1
HSP90B1,0.864165,1
OBSL1,0.86375284,1
MCM5,0.86373156,1
PSMA3,0.8636126,1
RPL14,0.86358637,1
RPL31,0.863578,1
RPL18A,0.8635528,1
RPL3,0.86336017,1
RPLP0,0.8633274,1
SF3B1,0.8632948,1
PRKCA,0.8630786,1
HUWE1,0.86294836,1
ERBB2,0.86272216,1
RPS11,0.8627149,1
RPS4X,0.8624983,1
RPL9,0.8624808,1
RPS3A,0.86227155,1
MAPK3,0.8621575,1
DHX15,0.8621296,1
RPL8,0.86206234,1
RPL23A,0.8620082,1
SKP1,0.86188495,1
RPS20,0.86172193,1
SRRM1,0.8616761,1
RPL37A,0.8616748,1
RPL24,0.86133826,1
FBXO6,0.86132014,1
RPL7A,0.8610163,1
RPS13,0.860813,1
RPS9,0.86070555,1
NFKB1,0.86060256,1
RPL30,0.8605237,1
RPS5,0.860077,1
SHC1,0.86001813,1
SF3A1,0.85972327,1
RPS10,0.85964966,1
RPL10,0.85962343,1
PSMA1,0.8596102,1
CDC34,0.8593785,1
RPL15,0.85926855,1
RPL27,0.85917544,1
CSNK2A2,0.85902137,1
RPL22,0.8590058,1
REL,0.85883015,1
NOP56,0.858689,1
SNRPA,0.8583045,1
RPS25,0.85781515,1
COL6A2,0.85779685,1
RPL21,0.85777825,1
KRT31,0.8577725,1
RPA3,0.8575129,1
RPL19,0.8574691,1
CDKN1A,0.8571081,1
CASP8,0.85686195,1
RAF1,0.8562864,1
RPS18,0.85619056,1
RAC1,0.8560328,1
RPL12,0.85554093,1
PPP1CB,0.8554579,1
CHD3,0.8553759,1
UBE2I,0.85519874,1
HNRNPA3,0.8550657,1
SF3B2,0.8549432,1
RPS23,0.8548689,1
TUBA4A,0.8548324,1
HSPA1L,0.85471976,1
PXN,0.8543476,1
PSMB1,0.8542857,1
RPL27A,0.8542224,1
RNPS1,0.853754,1
SF3A2,0.85338116,1
MCM7,0.8531577,1
RPL17,0.8530688,1
HSD17B10,0.85280836,1
CRK,0.8522541,1
APC,0.8521969,1
RPS26,0.85218686,1
RPS14,0.852121,1
MYH9,0.8519694,1
KRT40,0.8514124,1
MAPK14,0.8512722,1
SF3B4,0.85125923,1
UBA52,0.851227,1
PRPF3,0.8512083,1
PAN2,0.8508972,1
CASP3,0.85089636,1
RPS27,0.8508748,1
SF3B6,0.85061777,1
SRSF5,0.8505281,1
PPP1CC,0.8503515,1
IKBKB,0.8497607,1
CHUK,0.8496989,1
TNF,0.84949803,1
UBE2L6,0.84941494,1
RPS15,0.8492743,1
SF3A3,0.84892166,1
TUBG1,0.8485894,1
SNRPD1,0.8484405,1
RPS24,0.8482665,1
RBM17,0.8482396,1
TRIM25,0.8481698,1
RPL36,0.84812224,1
USP7,0.8480894,1
MCM3,0.8476872,1
HIF1A,0.8472778,1
SOS2,0.84727687,1
SNRPB2,0.84726906,1
ARRB1,0.84726226,1
PDHA1,0.8472576,1
