gene_id,gene,pvalue
4939.0,TTN,1.0
89.0,TP53,1.0
11405.0,LRP1B,1.0
4848.0,ARID1A,0.99999976
7882.0,UBR4,0.99999964
2663.0,MUC16,0.9999995
20.0,PIK3CA,0.99999917
12943.0,CSMD1,0.9999988
3772.0,FBXO11,0.99999666
4072.0,SETD2,0.9999957
4663.0,FAT1,0.9999949
10016.0,CECR2,0.9999945
9392.0,CYP17A1,0.9999945
1793.0,IRS4,0.9999937
1042.0,CUL4A,0.9999924
511.0,CREBBP,0.999992
133.0,FANCC,0.9999918
7267.0,GFM2,0.9999918
956.0,NCOR1,0.99999154
1314.0,CBLB,0.9999895
844.0,HBB,0.9999881
1661.0,MTOR,0.9999865
2913.0,KLF5,0.99998534
10432.0,PRDM2,0.999985
1235.0,IL1RN,0.99998367
5886.0,IP6K2,0.99998343
1556.0,HTT,0.99998236
6205.0,PPP2R5C,0.999982
2320.0,SNAI2,0.99997985
7780.0,MYO9A,0.99997914
3100.0,TBC1D4,0.9999782
5653.0,ZNF668,0.99997807
1995.0,ACTL6A,0.9999777
1849.0,KRAS,0.9999776
12741.0,SLC2A12,0.99997663
3395.0,MYCBP2,0.9999753
7693.0,TEP1,0.9999738
1728.0,NCOA3,0.99997354
179.0,RUNX2,0.99997354
153.0,PHF20,0.9999734
5434.0,HR,0.9999733
8051.0,KAT6A,0.9999726
12793.0,RAPGEF5,0.99997234
5630.0,ALOX5AP,0.9999716
104.0,TP53INP1,0.9999714
1444.0,STAT6,0.9999714
1024.0,CDC25C,0.9999713
4464.0,RBBP6,0.99996996
5595.0,ANK2,0.99996996
756.0,CD40LG,0.99996984
10856.0,CR2,0.99996984
9597.0,LAMA4,0.9999696
297.0,DROSHA,0.99996936
10690.0,ATP12A,0.9999691
11090.0,CDH18,0.9999691
810.0,PDGFRA,0.999969
2089.0,IRF5,0.9999685
8522.0,HECW1,0.9999684
4902.0,OBSCN,0.9999671
10281.0,HMCN1,0.9999671
9881.0,SMG7,0.99996686
11916.0,GYS2,0.9999665
7870.0,NCKAP1L,0.99996614
9687.0,KDM4D,0.9999658
10709.0,DMTF1,0.99996555
1541.0,SMG5,0.9999652
2148.0,SREBF2,0.9999647
4604.0,FBXO4,0.99996424
1211.0,PLCG2,0.999964
6754.0,KMT2C,0.9999634
7256.0,MCF2,0.9999628
1928.0,ZFYVE16,0.9999628
10886.0,LDB3,0.99996245
10495.0,TNR,0.9999621
1454.0,PRKCD,0.9999614
3193.0,MSX1,0.99996066
105.0,APAF1,0.9999597
2514.0,CREBZF,0.99995947
210.0,TNFAIP3,0.99995923
2499.0,MEN1,0.9999589
4415.0,ZBTB7A,0.99995816
2498.0,KMT2A,0.9999567
2701.0,TLR5,0.9999554
3592.0,UTP14A,0.9999554
876.0,UFD1,0.9999553
911.0,TP53BP1,0.99995494
1197.0,NCOA2,0.99995494
5189.0,SMARCAL1,0.9999547
8870.0,RNF43,0.99995446
1809.0,MAML1,0.9999542
135.0,PRDM1,0.9999534
9376.0,RABGAP1,0.99995315
465.0,TLR2,0.99995255
11514.0,USP3,0.9999521
3148.0,KLF6,0.9999517
3589.0,PLOD3,0.99995124
4182.0,ATRX,0.9999509
1011.0,STK4,0.99995065
8799.0,PHKB,0.9999504
9897.0,ASPM,0.9999502
1734.0,NLK,0.99995005
9087.0,CDKN1C,0.9999497
3072.0,CEBPZ,0.9999497
1749.0,ZMIZ1,0.9999496
127.0,PLAGL1,0.99994946
174.0,CCND1,0.9999492
914.0,FOXL2,0.99994886
2084.0,MAPK10,0.9999486
2233.0,BHLHE40,0.99994826
317.0,PIK3R2,0.99994814
10821.0,PRMT3,0.9999478
141.0,HIPK1,0.9999474
1765.0,ZMIZ2,0.9999474
2576.0,HMGA2,0.9999466
10521.0,TTLL5,0.9999466
1449.0,LRPAP1,0.99994636
912.0,CDKN2A,0.9999461
4649.0,CDKN2C,0.999946
3080.0,TLR8,0.99994576
12180.0,OR10H3,0.9999455
4079.0,OTUD5,0.9999453
1258.0,FGFR4,0.9999449
982.0,AXIN1,0.99994445
205.0,FAS,0.9999441
5183.0,TWIST2,0.999944
1732.0,SOX4,0.99994373
94.0,GLS2,0.9999436
7711.0,ALK,0.999943
1244.0,NOTCH4,0.999943
1256.0,ZBTB17,0.999943
910.0,SP3,0.9999424
1572.0,IGF1R,0.9999424
178.0,TWIST1,0.9999422
6403.0,POLI,0.9999418
5958.0,MTA1,0.99994135
4810.0,GUCY1A1,0.9999411
6032.0,EEA1,0.9999409
10864.0,DPH1,0.99994063
