gene,pvalue
NTRK1,0.9616985
TP53,0.9571673
EFTUD2,0.95531535
UBC,0.9543872
EGFR,0.9507765
HSP90AB1,0.9426167
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
EP300,0.93484867
MCM2,0.93447316
TRAF6,0.9341577
AKT1,0.9238593
BRCA1,0.92137
VHL,0.91932416
PRPF8,0.9180546
CDH1,0.9163656
FLNA,0.91180944
YWHAE,0.91137576
MAPK1,0.90952516
BTRC,0.90714633
HNRNPU,0.9059241
CFTR,0.90269536
TRAF2,0.9014527
FBXW11,0.9005506
AR,0.8994237
CHD4,0.8991725
RPA1,0.89207494
EEF1A1,0.88925594
LRRK2,0.8885469
CREBBP,0.8852111
AURKA,0.8833601
CUL2,0.87996554
FLNB,0.8792728
CYLD,0.87832916
NPM1,0.87638044
PIK3R1,0.87569916
SRC,0.8729519
ABL1,0.8715843
HDAC2,0.86950797
CAND1,0.868309
TTN,0.8677549
PRKACA,0.86651415
SMAD4,0.86442566
HSP90B1,0.864165
OBSL1,0.86375284
MCM5,0.86373156
PSMA3,0.8636126
RPL18A,0.8635528
SF3B1,0.8632948
PRKCA,0.8630786
HUWE1,0.86294836
ERBB2,0.86272216
RPS4X,0.8624983
MAPK3,0.8621575
RPS20,0.86172193
SRRM1,0.8616761
RPL7A,0.8610163
RPS5,0.860077
SF3A1,0.85972327
RPL15,0.85926855
NOP56,0.858689
COL6A2,0.85779685
KRT31,0.8577725
CDKN1A,0.8571081
