gene,pvalue
NTRK1,0.9616985
APP,0.9613723
TP53,0.9571673
EFTUD2,0.95531535
CUL3,0.9514128
EGFR,0.9507765
XPO1,0.94975424
HSP90AA1,0.9491717
HSP90AB1,0.9426167
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
YWHAZ,0.93681335
EP300,0.93484867
CTNNB1,0.93459725
MCM2,0.93447316
HSPA8,0.9330098
CDK2,0.9304886
ACTB,0.92552125
MYC,0.923666
CUL7,0.92276764
BRCA1,0.92137
HNRNPA1,0.9195045
PRPF8,0.9180546
VCP,0.9154379
RNF4,0.9153354
FLNA,0.91180944
YWHAE,0.91137576
SMAD3,0.91078967
RELA,0.9105929
MAPK1,0.90952516
COPS5,0.90844095
SMAD2,0.90806496
BTRC,0.90714633
HNRNPU,0.9059241
MDM2,0.90443313
CDC5L,0.9027654
CFTR,0.90269536
AR,0.8994237
CHD4,0.8991725
YWHAB,0.8983487
YWHAQ,0.89587086
IKBKE,0.8935251
RPA1,0.89207494
ARRB2,0.8912443
PPP1CA,0.88907146
LRRK2,0.8885469
CREBBP,0.8852111
HGS,0.8834392
AURKA,0.8833601
FLNB,0.8792728
CYLD,0.87832916
NPM1,0.87638044
PIK3R1,0.87569916
EWSR1,0.87561285
ABL1,0.8715843
CUL5,0.8713639
RPL4,0.8701421
CAND1,0.868309
TTN,0.8677549
PRKACA,0.86651415
HNRNPM,0.86467314
SMAD4,0.86442566
HSP90B1,0.864165
OBSL1,0.86375284
MCM5,0.86373156
PSMA3,0.8636126
RPL3,0.86336017
SF3B1,0.8632948
HUWE1,0.86294836
ERBB2,0.86272216
RPS3A,0.86227155
MAPK3,0.8621575
DHX15,0.8621296
RPL8,0.86206234
