gene,pvalue
NTRK1,0.9616985
APP,0.9613723
TP53,0.9571673
EFTUD2,0.95531535
CUL3,0.9514128
EGFR,0.9507765
HSP90AA1,0.9491717
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
EP300,0.93484867
CTNNB1,0.93459725
TRAF6,0.9341577
EGLN3,0.9331598
ACTB,0.92552125
AKT1,0.9238593
MYC,0.923666
CUL7,0.92276764
BRCA1,0.92137
HNRNPA1,0.9195045
VHL,0.91932416
CSNK2A1,0.9185769
PRPF8,0.9180546
CDH1,0.9163656
VCP,0.9154379
RNF4,0.9153354
FLNA,0.91180944
SMAD3,0.91078967
RELA,0.9105929
COPS5,0.90844095
SMAD2,0.90806496
BTRC,0.90714633
CDC5L,0.9027654
CFTR,0.90269536
TRAF2,0.9014527
AR,0.8994237
CHD4,0.8991725
IKBKE,0.8935251
SNW1,0.8929188
RPA1,0.89207494
ARRB2,0.8912443
EEF1A1,0.88925594
RPA2,0.8892447
PPP1CA,0.88907146
LRRK2,0.8885469
TGFB1,0.88773745
CREBBP,0.8852111
HGS,0.8834392
FLNB,0.8792728
CYLD,0.87832916
RNF2,0.8776943
PIK3R1,0.87569916
EWSR1,0.87561285
U2AF2,0.87316024
SRC,0.8729519
ABL1,0.8715843
HSPD1,0.8714585
HDAC2,0.86950797
PCBP1,0.86854523
CAND1,0.868309
TTN,0.8677549
HNRNPM,0.86467314
SMAD4,0.86442566
OBSL1,0.86375284
MCM5,0.86373156
