gene,pvalue
TP53,0.9571673
EFTUD2,0.95531535
UBC,0.9543872
CUL3,0.9514128
HSP90AA1,0.9491717
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
CTNNB1,0.93459725
MCM2,0.93447316
HSPA8,0.9330098
ACTB,0.92552125
AKT1,0.9238593
BRCA1,0.92137
CSNK2A1,0.9185769
PRPF8,0.9180546
VCP,0.9154379
FLNA,0.91180944
YWHAE,0.91137576
HSPA5,0.9093909
BTRC,0.90714633
CFTR,0.90269536
CHD4,0.8991725
EEF1A1,0.88925594
RPA2,0.8892447
LRRK2,0.8885469
CREBBP,0.8852111
HGS,0.8834392
CUL2,0.87996554
CYLD,0.87832916
RNF2,0.8776943
PIK3R1,0.87569916
U2AF2,0.87316024
SRC,0.8729519
ABL1,0.8715843
HSPD1,0.8714585
RPS2,0.8705884
RPL4,0.8701421
PCBP1,0.86854523
CAND1,0.868309
