gene,pvalue
NTRK1,0.9616985
TP53,0.9571673
EFTUD2,0.95531535
UBC,0.9543872
CUL3,0.9514128
EGFR,0.9507765
XPO1,0.94975424
HSP90AA1,0.9491717
HSP90AB1,0.9426167
FN1,0.9398007
CUL1,0.9379864
ESR1,0.93753165
EP300,0.93484867
CTNNB1,0.93459725
MCM2,0.93447316
TRAF6,0.9341577
HSPA8,0.9330098
CDK2,0.9304886
HDAC1,0.92831343
AKT1,0.9238593
CUL7,0.92276764
BRCA1,0.92137
HNRNPA1,0.9195045
VHL,0.91932416
PRPF8,0.9180546
CDH1,0.9163656
VCP,0.9154379
RNF4,0.9153354
FLNA,0.91180944
RELA,0.9105929
MAPK1,0.90952516
HSPA5,0.9093909
COPS5,0.90844095
SMAD2,0.90806496
HNRNPU,0.9059241
UBB,0.90360564
CFTR,0.90269536
FBXW11,0.9005506
AR,0.8994237
CHD4,0.8991725
YWHAB,0.8983487
SIRT7,0.8971633
IKBKE,0.8935251
SNW1,0.8929188
RPA1,0.89207494
ARRB2,0.8912443
EEF1A1,0.88925594
RPA2,0.8892447
LRRK2,0.8885469
CREBBP,0.8852111
HGS,0.8834392
CUL2,0.87996554
FLNB,0.8792728
CYLD,0.87832916
RPS8,0.87715125
PIK3R1,0.87569916
EWSR1,0.87561285
SRC,0.8729519
LMNA,0.8722168
ABL1,0.8715843
HSPD1,0.8714585
CUL5,0.8713639
RPS2,0.8705884
RPL4,0.8701421
RPL7,0.86978984
HDAC2,0.86950797
PCBP1,0.86854523
